Location,Size,Bedroom,Bath,Price,Date of Sale
San Diego,2650,4,4,393000,3 months ago
Pasadena,1850,3,3,162000,4 months ago
Pasadena,3300,6,4.5,441000,2 months ago
Long Beach,2100,5,3,194000,2 months ago
Burbank,1550,3,3,246000,2 months ago
San Diego,2000,3,3,241000,5 months ago
Burbank,3350,7,4.5,493000,6 months ago
San Diego,1200,3,2.5,169000,4 months ago
Burbank,3050,8,4.5,473000,2 months ago
Van Nuys,2650,4,4,423000,2 months ago
Riverside,2100,4,3,226000,2 months ago
San Diego,2200,5,3,245000,2 months ago
Van Nuys,1850,3,3,158000,2 months ago
Long Beach,1650,5,3,183000,2 months ago
San Diego,1950,3,3,150000,6 months ago
San Diego,1200,3,2.5,156000,5 months ago
Burbank,2450,6,4,391000,2 months ago
Riverside,2550,5,4,386000,3 months ago
Riverside,1100,3,2.5,166000,1 month ago
San Diego,1600,5,3,155000,4 months ago
Van Nuys,2700,4,4,323000,6 months ago
San Diego,1700,4,3,172000,3 months ago
Burbank,2350,6,4,236000,2 months ago
Riverside,3050,5,4.5,411000,2 months ago
Van Nuys,1950,3,3,176000,4 months ago
Pasadena,3100,6,4.5,413000,5 months ago
Pasadena,2600,5,4,324000,1 month ago
Van Nuys,2700,5,4,348000,1 month ago
Pasadena,2750,6,4,248000,2 months ago
Pasadena,1650,4,3,196000,3 months ago
San Diego,1500,3,2.5,164000,4 months ago
Long Beach,2700,4,4,357000,4 months ago
Pasadena,1350,3,2.5,175000,3 months ago
Riverside,2150,5,3,236000,3 months ago
Van Nuys,1900,5,3,225000,5 months ago
Long Beach,1550,5,3,229000,6 months ago
Burbank,3100,8,4.5,479000,2 months ago
San Diego,2850,6,4,321000,3 months ago
Van Nuys,2350,5,4,291000,5 months ago
Burbank,3250,7,4.5,417000,2 months ago
Long Beach,2850,4,4,400000,5 months ago
Burbank,2850,4,4,373000,4 months ago
Long Beach,2400,5,4,428000,1 month ago
Pasadena,1100,3,2.5,169000,6 months ago
Burbank,2300,3,3,206000,5 months ago
Van Nuys,1350,2,2.5,162000,6 months ago
Riverside,2550,5,4,439000,1 month ago
San Diego,3050,8,4.5,496000,2 months ago
Pasadena,2100,5,3,167000,1 month ago
San Diego,1850,5,3,176000,5 months ago
Burbank,2650,6,4,253000,1 month ago
Burbank,2450,6,4,348000,5 months ago
Riverside,1350,3,2.5,161000,4 months ago
Van Nuys,2800,6,4,410000,2 months ago
Pasadena,2500,4,4,242000,5 months ago
San Diego,1300,3,2.5,153000,1 month ago
Pasadena,1300,3,2.5,140000,4 months ago
Riverside,3050,7,4.5,467000,1 month ago
San Diego,2350,5,4,317000,1 month ago
Van Nuys,3200,7,4.5,417000,1 month ago
Van Nuys,2950,8,4.5,421000,1 month ago
Riverside,1500,3,2.5,165000,2 months ago
San Diego,3150,8,4.5,437000,2 months ago
Van Nuys,3300,7,4.5,520000,1 month ago
Van Nuys,2950,8,4.5,486000,4 months ago
Long Beach,2900,5,4,298000,2 months ago
Riverside,2850,6,4,316000,1 month ago
San Diego,2500,6,4,231000,4 months ago
San Diego,2250,3,3,232000,2 months ago
Van Nuys,2550,4,4,365000,1 month ago
Riverside,1750,3,3,200000,3 months ago
Van Nuys,1450,3,2.5,159000,5 months ago
Riverside,2950,7,4.5,462000,6 months ago
Pasadena,2400,6,4,384000,5 months ago
Van Nuys,2400,6,4,271000,3 months ago
Long Beach,1550,5,3,201000,6 months ago
Long Beach,2100,5,3,242000,4 months ago
Van Nuys,1350,3,2.5,140000,3 months ago
Burbank,2750,4,4,294000,4 months ago
Burbank,2450,5,4,383000,2 months ago
Van Nuys,2450,6,4,287000,5 months ago
Riverside,2200,4,3,223000,4 months ago
Burbank,2300,3,3,208000,3 months ago
Burbank,1700,3,3,239000,3 months ago
Van Nuys,2150,5,3,235000,2 months ago
Burbank,1700,3,3,205000,2 months ago
Van Nuys,1800,4,3,241000,3 months ago
Long Beach,2350,5,4,248000,6 months ago
San Diego,2750,6,4,232000,5 months ago
Van Nuys,1750,4,3,194000,2 months ago
Burbank,3150,8,4.5,454000,2 months ago
Long Beach,3150,7,4.5,499000,4 months ago
San Diego,1400,2,2.5,159000,5 months ago
Burbank,1400,3,2.5,156000,3 months ago
Long Beach,1450,2,2.5,144000,5 months ago
San Diego,2950,8,4.5,444000,4 months ago
Long Beach,2000,3,3,188000,6 months ago
Van Nuys,2350,4,4,415000,5 months ago
Van Nuys,2500,5,4,320000,3 months ago
Riverside,2550,5,4,380000,4 months ago
Long Beach,2400,4,4,277000,2 months ago
Pasadena,2950,8,4.5,431000,6 months ago
Long Beach,3300,6,4.5,513000,6 months ago
Burbank,3000,7,4.5,517000,6 months ago
Riverside,2950,5,4.5,483000,4 months ago
Pasadena,3150,6,4.5,447000,6 months ago
Long Beach,3350,7,4.5,497000,3 months ago
Riverside,3300,6,4.5,515000,6 months ago
Pasadena,1700,5,3,227000,3 months ago
Riverside,1700,5,3,217000,6 months ago
Van Nuys,1550,3,3,172000,6 months ago
Van Nuys,1350,3,2.5,148000,6 months ago
Burbank,2700,5,4,243000,4 months ago
Pasadena,3100,8,4.5,460000,6 months ago
San Diego,2750,5,4,312000,1 month ago
Burbank,3000,5,4.5,503000,5 months ago
Long Beach,1100,3,2.5,157000,6 months ago
Burbank,2250,4,3,196000,4 months ago
Pasadena,2450,5,4,300000,3 months ago
Pasadena,1700,3,3,166000,3 months ago
Burbank,3250,5,4.5,467000,6 months ago
Pasadena,2900,6,4,277000,3 months ago
Pasadena,1800,4,3,172000,1 month ago
Riverside,1100,3,2.5,140000,6 months ago
San Diego,2650,6,4,416000,6 months ago
San Diego,3400,8,4.5,476000,4 months ago
Riverside,1650,3,3,166000,3 months ago
Van Nuys,1250,2,2.5,158000,6 months ago
Van Nuys,1800,5,3,235000,2 months ago
Burbank,1500,3,2.5,150000,6 months ago
Burbank,2950,7,4.5,416000,4 months ago
Riverside,1150,2,2.5,141000,2 months ago
Riverside,2400,6,4,340000,3 months ago
Riverside,2900,5,4,258000,5 months ago
San Diego,1700,4,3,206000,6 months ago
Burbank,2900,5,4,403000,3 months ago
Long Beach,3250,8,4.5,433000,2 months ago
Burbank,2200,4,3,229000,2 months ago
San Diego,1250,2,2.5,169000,5 months ago
San Diego,2450,6,4,260000,2 months ago
Long Beach,2600,5,4,231000,3 months ago
Riverside,2600,4,4,248000,4 months ago
Pasadena,2150,5,3,238000,1 month ago
Riverside,1900,5,3,181000,3 months ago
Van Nuys,3200,6,4.5,439000,2 months ago
San Diego,1750,4,3,189000,2 months ago
San Diego,1850,4,3,153000,5 months ago
Pasadena,2950,5,4.5,427000,1 month ago
San Diego,1950,4,3,204000,5 months ago
Long Beach,2700,4,4,368000,6 months ago
Van Nuys,2750,6,4,257000,2 months ago
San Diego,1150,2,2.5,160000,2 months ago
Pasadena,3000,5,4.5,470000,1 month ago
Van Nuys,1700,4,3,176000,6 months ago
Pasadena,1850,4,3,190000,1 month ago
San Diego,2500,5,4,436000,2 months ago
San Diego,3300,6,4.5,410000,3 months ago
Burbank,3000,8,4.5,477000,2 months ago
Van Nuys,1900,4,3,174000,5 months ago
Burbank,1300,2,2.5,147000,4 months ago
Pasadena,2350,4,4,266000,6 months ago
Long Beach,2450,6,4,290000,2 months ago
San Diego,3350,7,4.5,488000,6 months ago
Burbank,2650,6,4,281000,6 months ago
Long Beach,2750,5,4,428000,1 month ago
Riverside,2300,5,3,180000,3 months ago
Pasadena,3100,5,4.5,511000,6 months ago
Burbank,2450,6,4,376000,3 months ago
Pasadena,3300,5,4.5,458000,5 months ago
Pasadena,2650,6,4,303000,6 months ago
Riverside,2050,5,3,173000,2 months ago
Burbank,1650,4,3,192000,1 month ago
San Diego,1800,4,3,182000,2 months ago
Van Nuys,1650,4,3,178000,4 months ago
San Diego,3300,5,4.5,441000,3 months ago
Riverside,2400,5,4,267000,6 months ago
Van Nuys,1250,2,2.5,168000,2 months ago
Long Beach,1100,2,2.5,145000,3 months ago
Van Nuys,2000,5,3,216000,2 months ago
San Diego,1200,3,2.5,169000,3 months ago
San Diego,2800,6,4,270000,3 months ago
San Diego,1200,3,2.5,164000,4 months ago
Burbank,2150,5,3,193000,5 months ago
Long Beach,1800,4,3,229000,2 months ago
Burbank,2650,5,4,251000,5 months ago
Van Nuys,2500,4,4,377000,1 month ago
Riverside,2750,4,4,390000,5 months ago
Burbank,2250,5,3,224000,5 months ago
Pasadena,3150,7,4.5,444000,3 months ago
San Diego,1150,3,2.5,155000,4 months ago
Riverside,2700,6,4,274000,6 months ago
Riverside,1250,2,2.5,160000,1 month ago
Long Beach,2600,5,4,404000,3 months ago
Pasadena,3200,6,4.5,446000,1 month ago
Pasadena,1350,2,2.5,171000,6 months ago
Burbank,2700,4,4,253000,1 month ago
Pasadena,2500,4,4,355000,5 months ago
Van Nuys,2700,4,4,245000,2 months ago
Burbank,1400,2,2.5,166000,2 months ago
Pasadena,3200,8,4.5,414000,6 months ago
Riverside,2500,6,4,307000,6 months ago
Pasadena,1650,3,3,185000,2 months ago
Long Beach,1850,3,3,247000,2 months ago
Van Nuys,3150,7,4.5,439000,5 months ago
Riverside,1100,3,2.5,143000,6 months ago
Burbank,3100,5,4.5,457000,4 months ago
Burbank,2600,6,4,300000,2 months ago
Pasadena,1650,5,3,229000,3 months ago
Van Nuys,1150,3,2.5,167000,1 month ago
Pasadena,2750,5,4,245000,6 months ago
Riverside,2600,5,4,310000,3 months ago
Pasadena,2800,4,4,291000,3 months ago
Pasadena,1850,3,3,203000,6 months ago
Riverside,3150,8,4.5,461000,5 months ago
Long Beach,1300,3,2.5,141000,1 month ago
Van Nuys,2800,4,4,347000,6 months ago
Pasadena,2450,5,4,296000,4 months ago
Burbank,2550,4,4,395000,1 month ago
San Diego,2400,5,4,357000,1 month ago
Pasadena,3150,8,4.5,437000,3 months ago
Burbank,3350,6,4.5,520000,4 months ago
Van Nuys,1950,5,3,211000,4 months ago
Riverside,1150,2,2.5,173000,5 months ago
San Diego,2050,3,3,220000,4 months ago
Pasadena,1900,3,3,195000,3 months ago
San Diego,3300,7,4.5,437000,6 months ago
Pasadena,1400,3,2.5,165000,6 months ago
Van Nuys,2300,5,3,239000,2 months ago
Burbank,2450,6,4,332000,2 months ago
San Diego,2750,4,4,413000,5 months ago
Long Beach,3200,6,4.5,456000,3 months ago
Burbank,2200,5,3,193000,4 months ago
Pasadena,2850,5,4,279000,6 months ago
Pasadena,1600,5,3,180000,3 months ago
Pasadena,1100,2,2.5,143000,1 month ago
Pasadena,2100,3,3,158000,6 months ago
San Diego,2600,4,4,434000,1 month ago
Riverside,2000,3,3,236000,4 months ago
Burbank,2150,5,3,227000,2 months ago
Pasadena,3350,5,4.5,468000,3 months ago
Riverside,3200,6,4.5,491000,3 months ago
Riverside,3150,5,4.5,418000,5 months ago
Riverside,2850,4,4,341000,5 months ago
San Diego,3350,5,4.5,476000,3 months ago
Burbank,2850,5,4,391000,3 months ago
Long Beach,1150,2,2.5,167000,5 months ago
Riverside,3300,5,4.5,427000,4 months ago
San Diego,2700,6,4,297000,6 months ago
Pasadena,1350,3,2.5,173000,4 months ago
Long Beach,1400,2,2.5,154000,2 months ago
San Diego,1950,3,3,218000,4 months ago
Burbank,3200,5,4.5,516000,2 months ago
San Diego,1250,3,2.5,162000,2 months ago
San Diego,1250,2,2.5,150000,6 months ago
Long Beach,2800,4,4,278000,4 months ago
San Diego,2850,5,4,269000,4 months ago
San Diego,3400,5,4.5,420000,3 months ago
Burbank,1450,3,2.5,162000,5 months ago
Pasadena,2300,4,3,160000,2 months ago
Burbank,1650,4,3,178000,6 months ago
Burbank,2900,4,4,265000,1 month ago
San Diego,2150,3,3,172000,5 months ago
Burbank,3050,7,4.5,481000,6 months ago
Long Beach,2100,5,3,241000,1 month ago
Long Beach,3150,5,4.5,493000,4 months ago
Pasadena,2650,6,4,435000,6 months ago
Pasadena,3150,7,4.5,426000,2 months ago
Pasadena,1100,3,2.5,140000,6 months ago
San Diego,1400,2,2.5,141000,2 months ago
San Diego,1300,2,2.5,175000,2 months ago
San Diego,2900,4,4,251000,4 months ago
San Diego,2300,5,3,174000,1 month ago
San Diego,1500,3,2.5,164000,6 months ago
Long Beach,2450,5,4,283000,4 months ago
San Diego,2400,6,4,361000,5 months ago
Burbank,2700,6,4,438000,4 months ago
Pasadena,3050,6,4.5,479000,3 months ago
Burbank,3200,5,4.5,451000,5 months ago
Burbank,2400,6,4,411000,2 months ago
Burbank,2050,5,3,171000,1 month ago
Riverside,1900,5,3,194000,1 month ago
Riverside,2000,3,3,233000,1 month ago
Burbank,3200,8,4.5,413000,6 months ago
Pasadena,2850,4,4,348000,1 month ago
Van Nuys,3050,8,4.5,507000,1 month ago
Burbank,2450,6,4,255000,2 months ago
San Diego,3000,7,4.5,451000,2 months ago
Van Nuys,3000,6,4.5,417000,2 months ago
Long Beach,1300,2,2.5,171000,4 months ago
Long Beach,3300,8,4.5,424000,6 months ago
Long Beach,1400,3,2.5,173000,4 months ago
Long Beach,1600,3,3,151000,2 months ago
Pasadena,1200,2,2.5,154000,2 months ago
Pasadena,1900,5,3,200000,3 months ago
Riverside,2400,5,4,344000,5 months ago
Burbank,3350,6,4.5,425000,1 month ago
San Diego,1700,5,3,187000,1 month ago
Van Nuys,1600,4,3,152000,5 months ago
Long Beach,1700,4,3,236000,6 months ago
Van Nuys,2200,5,3,179000,6 months ago
Burbank,1350,3,2.5,155000,1 month ago
Riverside,1900,3,3,203000,6 months ago
San Diego,2000,4,3,239000,5 months ago
Van Nuys,3150,6,4.5,484000,2 months ago
Pasadena,1400,3,2.5,173000,1 month ago
Riverside,2900,4,4,305000,3 months ago
San Diego,2500,4,4,264000,5 months ago
Long Beach,2900,5,4,248000,4 months ago
San Diego,3250,6,4.5,507000,6 months ago
Long Beach,1150,3,2.5,151000,3 months ago
San Diego,1300,2,2.5,160000,6 months ago
Pasadena,1750,4,3,246000,2 months ago
Van Nuys,1500,2,2.5,141000,1 month ago
Burbank,2500,5,4,231000,6 months ago
Riverside,2100,4,3,161000,1 month ago
Pasadena,3200,8,4.5,516000,3 months ago
Riverside,2750,5,4,294000,3 months ago
Riverside,2600,6,4,307000,3 months ago
Burbank,1800,5,3,191000,2 months ago
Burbank,1350,3,2.5,172000,5 months ago
Long Beach,1850,4,3,204000,4 months ago
Pasadena,1200,3,2.5,162000,4 months ago
Pasadena,3000,7,4.5,460000,4 months ago
Pasadena,3250,7,4.5,470000,3 months ago
San Diego,1600,3,3,239000,1 month ago
Long Beach,2300,3,3,205000,1 month ago
Pasadena,1200,3,2.5,146000,3 months ago
San Diego,2550,5,4,235000,5 months ago
Van Nuys,2050,3,3,158000,6 months ago
Long Beach,2950,7,4.5,425000,1 month ago
San Diego,1500,2,2.5,153000,6 months ago
Burbank,2550,4,4,305000,5 months ago
Long Beach,2350,6,4,264000,6 months ago
Long Beach,1450,3,2.5,165000,5 months ago
Riverside,1600,5,3,234000,6 months ago
Long Beach,3250,8,4.5,419000,6 months ago
Pasadena,1650,3,3,230000,3 months ago
San Diego,3350,8,4.5,453000,5 months ago
Van Nuys,1900,3,3,173000,6 months ago
Riverside,2900,5,4,391000,4 months ago
San Diego,3200,6,4.5,420000,4 months ago
Long Beach,2000,4,3,214000,2 months ago
Long Beach,2100,4,3,161000,3 months ago
Van Nuys,1100,3,2.5,166000,1 month ago
Burbank,1600,3,3,244000,4 months ago
Long Beach,2400,4,4,234000,5 months ago
Long Beach,1150,3,2.5,164000,4 months ago
Burbank,2400,4,4,241000,2 months ago
Pasadena,1650,3,3,168000,6 months ago
San Diego,1600,5,3,161000,1 month ago
Van Nuys,2300,3,3,228000,1 month ago
Long Beach,1300,3,2.5,157000,2 months ago
Burbank,2450,4,4,311000,1 month ago
Van Nuys,1100,2,2.5,175000,3 months ago
Riverside,2200,5,3,182000,2 months ago
Burbank,2100,5,3,223000,5 months ago
Burbank,1150,3,2.5,162000,3 months ago
Long Beach,1950,4,3,158000,3 months ago
Burbank,3300,7,4.5,463000,3 months ago
Pasadena,3300,8,4.5,442000,3 months ago
Long Beach,3250,6,4.5,463000,3 months ago
Riverside,2600,6,4,333000,2 months ago
Burbank,3100,8,4.5,442000,3 months ago
Riverside,1150,3,2.5,156000,6 months ago
Burbank,1550,5,3,162000,5 months ago
Van Nuys,3400,8,4.5,466000,4 months ago
Long Beach,1800,3,3,221000,1 month ago
San Diego,2900,6,4,295000,1 month ago
Pasadena,2700,4,4,247000,3 months ago
San Diego,1400,2,2.5,145000,3 months ago
Pasadena,3000,8,4.5,477000,3 months ago
Van Nuys,2700,5,4,234000,5 months ago
Van Nuys,2100,4,3,173000,5 months ago
Burbank,2450,6,4,352000,6 months ago
Riverside,2650,5,4,407000,4 months ago
San Diego,2150,5,3,216000,2 months ago
Riverside,1850,4,3,188000,6 months ago
Van Nuys,2000,4,3,200000,4 months ago
Long Beach,2350,4,4,411000,3 months ago
Long Beach,1200,2,2.5,159000,1 month ago
Burbank,2700,6,4,367000,5 months ago
Long Beach,1300,3,2.5,142000,3 months ago
Long Beach,1550,5,3,208000,3 months ago
San Diego,1550,4,3,208000,5 months ago
Riverside,1500,2,2.5,143000,6 months ago
Burbank,3150,6,4.5,470000,1 month ago
Long Beach,2900,5,4,378000,6 months ago
Long Beach,2850,6,4,403000,1 month ago
San Diego,1450,3,2.5,170000,5 months ago
Pasadena,1750,3,3,226000,5 months ago
San Diego,2400,5,4,231000,4 months ago
Pasadena,2450,6,4,240000,6 months ago
Burbank,2350,4,4,288000,3 months ago
Long Beach,1850,5,3,177000,4 months ago
Long Beach,2350,6,4,333000,1 month ago
San Diego,2600,6,4,374000,1 month ago
Van Nuys,2200,3,3,210000,3 months ago
Riverside,1550,3,3,171000,4 months ago
Long Beach,1350,3,2.5,156000,2 months ago
Van Nuys,2800,5,4,329000,4 months ago
Pasadena,3100,7,4.5,520000,1 month ago
Long Beach,1850,4,3,160000,1 month ago
Riverside,2400,6,4,281000,6 months ago
Riverside,1600,3,3,221000,1 month ago
Pasadena,2100,4,3,240000,1 month ago
Riverside,1200,3,2.5,142000,2 months ago
Burbank,1400,3,2.5,150000,5 months ago
Long Beach,1350,2,2.5,148000,2 months ago
San Diego,1600,3,3,226000,6 months ago
San Diego,2150,4,3,232000,2 months ago
San Diego,3350,6,4.5,458000,6 months ago
Riverside,1900,3,3,165000,5 months ago
Long Beach,2800,6,4,359000,5 months ago
Riverside,2450,4,4,353000,4 months ago
Van Nuys,2850,5,4,235000,3 months ago
San Diego,2150,4,3,165000,4 months ago
Riverside,2700,6,4,393000,3 months ago
Riverside,1800,4,3,163000,2 months ago
Pasadena,3300,5,4.5,427000,6 months ago
Riverside,1750,4,3,203000,1 month ago
Long Beach,1500,3,2.5,153000,3 months ago
Long Beach,1450,3,2.5,169000,4 months ago
Long Beach,2300,5,3,175000,5 months ago
Burbank,2700,6,4,272000,3 months ago
Burbank,1100,3,2.5,172000,3 months ago
Pasadena,1300,2,2.5,155000,4 months ago
San Diego,3300,6,4.5,488000,1 month ago
San Diego,2750,6,4,389000,2 months ago
San Diego,1900,4,3,202000,2 months ago
San Diego,1350,2,2.5,149000,2 months ago
San Diego,1800,3,3,199000,6 months ago
Pasadena,3300,7,4.5,476000,6 months ago
Pasadena,2450,6,4,391000,2 months ago
Pasadena,1300,2,2.5,173000,5 months ago
Riverside,1800,3,3,248000,2 months ago
Burbank,1700,3,3,250000,3 months ago
San Diego,2650,6,4,397000,4 months ago
Van Nuys,2200,3,3,208000,4 months ago
Pasadena,2000,5,3,246000,1 month ago
Long Beach,2000,3,3,166000,6 months ago
Burbank,1550,5,3,220000,1 month ago
Van Nuys,1500,3,2.5,144000,2 months ago
Burbank,2600,5,4,291000,3 months ago
Burbank,3350,8,4.5,471000,2 months ago
Van Nuys,1800,5,3,172000,5 months ago
Long Beach,1150,2,2.5,149000,2 months ago
Pasadena,2050,5,3,191000,2 months ago
Van Nuys,2250,5,3,222000,1 month ago
San Diego,2450,4,4,319000,5 months ago
Riverside,3150,8,4.5,422000,4 months ago
Riverside,1700,3,3,210000,1 month ago
Riverside,3300,8,4.5,429000,6 months ago
Pasadena,2350,5,4,416000,1 month ago
San Diego,1100,2,2.5,140000,6 months ago
Long Beach,3150,7,4.5,412000,2 months ago
Long Beach,3000,6,4.5,411000,3 months ago
Long Beach,3050,8,4.5,477000,3 months ago
Pasadena,3200,7,4.5,494000,3 months ago
Pasadena,2600,4,4,409000,3 months ago
Pasadena,1800,5,3,176000,4 months ago
Long Beach,3300,7,4.5,475000,5 months ago
San Diego,2950,7,4.5,460000,2 months ago
Burbank,1650,3,3,194000,2 months ago
Van Nuys,1650,4,3,241000,2 months ago
Pasadena,2950,6,4.5,478000,2 months ago
Van Nuys,1950,3,3,224000,3 months ago
San Diego,2650,6,4,402000,2 months ago
Riverside,2350,5,4,368000,3 months ago
Burbank,1600,4,3,241000,6 months ago
Van Nuys,2000,5,3,182000,2 months ago
Pasadena,3000,8,4.5,433000,1 month ago
Van Nuys,3300,8,4.5,515000,4 months ago
San Diego,1250,3,2.5,150000,2 months ago
Van Nuys,2400,5,4,420000,6 months ago
Van Nuys,3000,5,4.5,448000,3 months ago
Van Nuys,2500,5,4,409000,5 months ago
Pasadena,2250,3,3,168000,2 months ago
Long Beach,1650,5,3,189000,2 months ago
Pasadena,1800,5,3,212000,2 months ago
Riverside,2400,5,4,329000,1 month ago
Burbank,1600,5,3,169000,1 month ago
Riverside,1200,2,2.5,156000,6 months ago
San Diego,2950,7,4.5,466000,5 months ago
Van Nuys,2700,5,4,289000,1 month ago
Riverside,3000,6,4.5,451000,6 months ago
San Diego,2400,4,4,438000,3 months ago
Pasadena,2150,5,3,229000,1 month ago
Long Beach,2100,4,3,189000,6 months ago
Burbank,1550,4,3,169000,4 months ago
Burbank,1250,3,2.5,154000,1 month ago
San Diego,2450,4,4,233000,5 months ago
Riverside,2050,3,3,239000,6 months ago
Burbank,1750,5,3,180000,3 months ago
Riverside,1900,4,3,175000,5 months ago
Pasadena,2150,4,3,204000,2 months ago
Burbank,1800,4,3,152000,3 months ago
Riverside,2000,5,3,166000,2 months ago
Burbank,1750,5,3,250000,1 month ago
Van Nuys,1550,4,3,184000,5 months ago
Long Beach,2200,3,3,182000,5 months ago
Long Beach,2800,4,4,263000,4 months ago
Riverside,1650,4,3,224000,2 months ago
Pasadena,2850,6,4,250000,5 months ago
Van Nuys,1750,5,3,221000,5 months ago
San Diego,1150,2,2.5,151000,5 months ago
Long Beach,2650,4,4,286000,1 month ago
Pasadena,3100,5,4.5,417000,3 months ago
Long Beach,2100,4,3,165000,2 months ago
Long Beach,1500,3,2.5,175000,1 month ago
Riverside,2350,6,4,376000,3 months ago
Burbank,1850,3,3,243000,1 month ago
San Diego,1150,2,2.5,169000,3 months ago
Pasadena,1900,5,3,153000,5 months ago
Burbank,1300,2,2.5,163000,6 months ago
Pasadena,1200,3,2.5,149000,5 months ago
Van Nuys,2050,5,3,245000,2 months ago
Burbank,3400,7,4.5,484000,4 months ago
Pasadena,1150,3,2.5,158000,1 month ago
Long Beach,1400,3,2.5,154000,2 months ago
Riverside,1250,3,2.5,155000,4 months ago
Pasadena,2400,5,4,436000,4 months ago
San Diego,1400,2,2.5,161000,1 month ago
Van Nuys,1100,3,2.5,147000,2 months ago
San Diego,3250,5,4.5,434000,3 months ago
Long Beach,1400,2,2.5,161000,5 months ago
Long Beach,3100,8,4.5,473000,1 month ago
San Diego,1350,2,2.5,165000,3 months ago
Long Beach,2350,6,4,284000,6 months ago
Riverside,1650,5,3,238000,3 months ago
Pasadena,2550,5,4,360000,1 month ago
San Diego,3400,5,4.5,496000,6 months ago
Riverside,2250,4,3,156000,4 months ago
Van Nuys,1400,2,2.5,161000,1 month ago
Pasadena,2700,6,4,419000,1 month ago
Pasadena,3200,6,4.5,438000,6 months ago
San Diego,3200,6,4.5,439000,1 month ago
Pasadena,2250,3,3,187000,6 months ago
Riverside,1450,3,2.5,155000,6 months ago
Long Beach,2200,5,3,156000,2 months ago
Riverside,3350,6,4.5,475000,5 months ago
San Diego,3350,5,4.5,484000,2 months ago
Van Nuys,1550,3,3,174000,2 months ago
Burbank,3400,5,4.5,477000,4 months ago
Van Nuys,3250,5,4.5,414000,2 months ago
Pasadena,2750,6,4,421000,1 month ago
San Diego,2950,7,4.5,435000,5 months ago
Burbank,1850,3,3,206000,4 months ago
Long Beach,1750,5,3,218000,5 months ago
Long Beach,3150,8,4.5,438000,5 months ago
Burbank,2400,5,4,341000,2 months ago
Riverside,3150,5,4.5,439000,6 months ago
San Diego,2250,5,3,241000,3 months ago
Long Beach,2000,4,3,217000,6 months ago
Riverside,2550,4,4,422000,1 month ago
Burbank,2900,4,4,300000,1 month ago
Burbank,1300,3,2.5,140000,1 month ago
Riverside,2300,5,3,198000,1 month ago
Pasadena,3100,6,4.5,499000,5 months ago
Burbank,2150,5,3,156000,1 month ago
San Diego,1950,3,3,227000,4 months ago
Van Nuys,2250,3,3,188000,4 months ago
San Diego,2150,3,3,182000,2 months ago
Burbank,2100,4,3,157000,1 month ago
Riverside,2700,6,4,416000,4 months ago
Long Beach,2200,3,3,240000,2 months ago
Riverside,2300,5,3,159000,5 months ago
Riverside,1300,2,2.5,164000,3 months ago
Burbank,2250,3,3,234000,2 months ago
Pasadena,2450,4,4,403000,4 months ago
San Diego,1700,4,3,194000,3 months ago
Burbank,2600,4,4,250000,3 months ago
Pasadena,2350,6,4,421000,4 months ago
San Diego,2600,5,4,420000,4 months ago
Van Nuys,2100,4,3,199000,3 months ago
Pasadena,2550,4,4,393000,6 months ago
Pasadena,2350,5,4,339000,1 month ago
Riverside,1100,3,2.5,162000,6 months ago
San Diego,2550,6,4,261000,1 month ago
San Diego,3300,8,4.5,520000,3 months ago
Pasadena,3300,5,4.5,494000,5 months ago
Pasadena,3300,6,4.5,471000,1 month ago
Pasadena,1800,3,3,212000,4 months ago
Riverside,2450,6,4,437000,6 months ago
Burbank,1900,5,3,227000,5 months ago
San Diego,1550,4,3,177000,1 month ago
San Diego,2900,5,4,249000,1 month ago
Long Beach,3150,8,4.5,440000,4 months ago
Pasadena,2350,5,4,363000,4 months ago
Long Beach,2050,3,3,205000,4 months ago
San Diego,2450,5,4,274000,4 months ago
Van Nuys,1800,3,3,163000,3 months ago
Riverside,1150,3,2.5,166000,2 months ago
Van Nuys,2200,4,3,211000,5 months ago
Long Beach,1400,2,2.5,141000,2 months ago
Burbank,1850,4,3,187000,2 months ago
San Diego,3200,6,4.5,504000,3 months ago
Riverside,1600,4,3,238000,5 months ago
Pasadena,1650,5,3,229000,4 months ago
Burbank,1450,3,2.5,150000,3 months ago
Pasadena,3150,6,4.5,512000,6 months ago
San Diego,1250,3,2.5,163000,6 months ago
San Diego,3050,7,4.5,499000,6 months ago
Burbank,3100,5,4.5,482000,6 months ago
San Diego,1550,4,3,209000,1 month ago
San Diego,1300,3,2.5,170000,6 months ago
Van Nuys,2700,5,4,409000,1 month ago
Pasadena,1650,5,3,209000,4 months ago
Pasadena,1150,2,2.5,167000,1 month ago
Van Nuys,2850,6,4,429000,2 months ago
Van Nuys,2950,7,4.5,423000,3 months ago
Burbank,1250,2,2.5,164000,5 months ago
Van Nuys,2850,6,4,423000,4 months ago
Pasadena,2050,4,3,154000,1 month ago
Long Beach,2100,4,3,202000,1 month ago
Van Nuys,2150,5,3,189000,2 months ago
San Diego,2800,4,4,320000,3 months ago
Long Beach,3050,7,4.5,453000,1 month ago
Van Nuys,2000,4,3,225000,5 months ago
Riverside,3350,6,4.5,446000,2 months ago
Pasadena,3350,7,4.5,447000,4 months ago
Van Nuys,3300,6,4.5,512000,3 months ago
Van Nuys,1800,3,3,213000,6 months ago
San Diego,2850,4,4,266000,6 months ago
